field,year,net_oil_prod_yearly_mill_sm3,net_gas_prod_yearly_bill_sm3,net_ngl_prod_yearly_mill_sm3,net_condensate_prod_yearly_mill_sm3,net_oil_eq_prod_yearly_mill_sm3,produced_water_yearly_mill_sm3,field_id,net_oil_prod_monthly_sm3_volatility,net_gas_prod_monthly_sm3_volatility,net_ngl_prod_monthly_sm3_volatility,net_condensate_prod_monthly_sm3_volatility,net_oil_eq_prod_monthly_sm3_volatility,produced_water_in_field_volatility,status,current_status,field_owner,processing_field,field_in_emissions,facilities_lifetime_mean,facilities_lifetime_std,facilities_water_depth_mean,facilities_water_depth_std,subsea_facilites_shut_down,surface_facilites_shut_down,subsea_facilites_in_service,surface_facilites_in_service,facility_kind_multi well template,facility_kind_single well template,facility_kind_offshore wind turbine,facility_kind_subsea structure,facility_kind_fpso,facility_kind_jacket 8 legs,facility_kind_condeep monoshaft,facility_kind_loading system,facility_kind_jacket 4 legs,facility_kind_jacket tripod,facility_kind_fsu,facility_kind_semisub steel,facility_kind_condeep 4 shafts,facility_kind_landfall,facility_kind_tlp concrete,facility_kind_jack-up 3 legs,facility_kind_jacket 6 legs,facility_kind_tlp steel,facility_kind_semisub concrete,facility_kind_mopustor,facility_kind_spar,well_status_closed,well_status_drilling,well_status_injecting,well_status_junked,well_status_online/operational,well_status_p&a,well_status_plugged,well_status_producing,well_status_suspended,well_purpose_injection,well_purpose_observation,well_purpose_production,well_subsea_no,well_subsea_yes,well_final_vertical_depth_mean,well_final_vertical_depth_std,well_water_depth_mean,well_water_depth_std,investments_mill_nok,future_investments_mill_nok,yearly_co2_emissions_1000_tonnes,org_number,operator,yearly_ch4_emissions_tons,yearly_nox_emissions_tons,yearly_oil_spill_emissions_tons,yearly_water_emissions_m3,ownership_original,ownership_new_name
statfjord nord,1997,3.9353100000000003,0.17288,0.0923,0.0,4.2005099999999995,0.0,43679,0.05389758522588761,0.0004049541687498459,0.0003344964555684836,0.0,0.054005458162704606,0.0,Producing,Producing,21084.0,statfjord,True,27.5,15.0,241.75,65.03012122598778,0.0,0.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,6.0,9.0,0.0,4.0,0.0,13.0,0.0,17.0,2888.8,0.0,285.0,0.0,255.0,2946.0,,,,,,,,"{'Den norske stats oljeselskap a.s': 50.0, 'Mobil Development Norway AS': 15.0, 'Norske Conoco A/S': 12.08333, 'Esso Exploration and Production Norway A/S': 10.0, 'A/S Norske Shell': 10.0, 'Saga Petroleum ASA': 1.875, 'Enterprise Oil Norwegian AS': 1.04167}","{'Equinor ASA': 1.875, 'Mobil Development Norway AS': 15.0, 'ConocoPhillips': 12.08333, 'Esso Exploration and Production Norway A/S': 10.0, 'A/S Norske Shell': 10.0, 'Shell': 1.04167}"
veslefrikk,1997,3.47468,0.13919,0.08596,0.0,3.6998100000000003,0.0,43618,0.05285095119696752,0.008952422179432104,0.005460506691996022,0.0,0.05341814828229346,0.0,Producing,Shut down,21212.0,veslefrikk,True,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,111.0,0.0,0.0,69.0,6.0,36.0,111.0,0.0,3317.0,0.0,175.0,0.0,229.0,0.0,156.20492,993246905.0,equinor energy as,64.319881,973.4661,88.599389,2782760.0,"{'Den norske stats oljeselskap a.s': 55.0, 'Total Norge AS': 18.0, 'RWE Dea Norge AS': 11.25, 'Petro-Canada Norge AS (old)': 9.0, 'Svenska Petroleum Exploration AS': 4.5, 'Norske RWE-DEA AS': 2.25}","{'Equinor ASA': 55.0, 'TotalEnergies EP Norge': 18.0, 'Wintershall Dea Norge AS': 2.25, 'Sval Energi AS': 9.0, 'Svenska Petroleum Exploration AS': 4.5}"
frøy,1997,1.39602,0.28878000000000004,0.0,0.01732,1.70211,0.0,43597,0.02626004275424062,0.005287280620851929,0.0,0.0009424564936506313,0.030859517796562597,0.0,Producing,Shut down,3810636.0,frigg,False,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,6.0,0.0,6.0,12.0,0.0,3352.2,70.48191257336879,120.0,0.0,0.0,0.0,,,,,,,,"{'Den norske stats oljeselskap a.s': 53.96, 'TotalFinaElf Exploration Norge AS': 24.7573, 'Total Norge AS': 15.2346, 'Norsk Hydro Produksjon AS': 6.0481}","{'Equinor ASA': 53.96, 'TotalEnergies EP Norge': 15.2346, 'Norsk Hydro ASA': 6.0481}"
hod,1997,0.46765999999999996,0.09469,0.02645,0.0,0.58879,0.0,43485,0.0036315432064903284,0.0010441478329095435,0.00023761918859359574,0.0,0.0047285736045168366,0.0,Producing,Producing,21052.0,valhall,True,30.0,0.0,72.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,6.0,30.0,36.0,0.0,2917.5,159.0990257669732,72.0,0.0,3.0,119.0,,,,,,,,"{'Enterprise Oil Norwegian AS': 25.0, 'Elf Petroleum Norge AS': 25.0, 'Amerada Hess Norge AS': 25.0, 'BP Amoco Norge AS': 25.0}","{'Shell': 25.0, 'TotalEnergies EP Norge': 25.0, 'Aker BP': 25.0}"
albuskjell,1997,0.04615,0.19171,0.02005,0.0,0.25789,0.0,43437,0.0004873762469187497,0.0018189480393065022,0.00022459896920889224,0.0,0.0022965882139039263,0.0,Producing,Shut down,20900.0,albuskjell,False,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2601.5,88.38834764831844,1286.5,34.64823227814083,0.0,0.0,,,,,,,,"{'Phillips Petroleum Company Norway': 36.96, 'Fina Production Licenses AS': 30.0, 'Norsk Agip AS': 13.04, 'Elf Petroleum Norge AS': 8.449, 'Norsk Hydro Produksjon AS': 6.7, 'Total Norge AS': 3.547, 'Den norske stats oljeselskap a.s': 1.0, 'Saga Petroleum ASA': 0.304}","{'ConocoPhillips': 36.96, 'TotalEnergies EP Norge': 3.547, 'Vår Energi AS': 13.04, 'Norsk Hydro ASA': 6.7, 'Equinor ASA': 0.304}"
yme,1997,1.9797699999999998,0.0,0.0,0.0,1.9797699999999998,0.0,43807,0.05645450919398143,0.0,0.0,0.0,0.05645450919398143,0.0,Producing,Producing,2786469.0,yme,True,20.0,7.0710678118654755,86.4,7.797435475847171,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,3.0,0.0,16.0,14.0,5.0,3299.3333333333335,124.92531101955808,87.66666666666667,9.237604307034013,207.0,972.0,133.20153,920149790.0,repsol norge as,126.134389,1317.52365,3.48514,44515.0,"{'Den norske stats oljeselskap a.s': 65.0, 'Saga Petroleum ASA': 25.0, 'RWE Dea Norge AS': 10.0}","{'Equinor ASA': 25.0, 'Wintershall Dea Norge AS': 10.0}"
cod,1997,0.032780000000000004,0.11714000000000001,0.01685,0.0,0.16678,0.0,43785,0.00045414922123847697,0.0012230129214610146,0.00015506352559418012,0.0,0.0017712082847250888,0.0,Producing,Shut down,,,False,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1836.6666666666667,0.0,120.0,0.0,0.0,0.0,,,,,,,,"{'Phillips Petroleum Company Norway': 36.96, 'Fina Production Licenses AS': 30.0, 'Norsk Agip AS': 13.04, 'Elf Petroleum Norge AS': 8.449, 'Norsk Hydro Produksjon AS': 6.7, 'Total Norge AS': 3.547, 'Den norske stats oljeselskap a.s': 1.0, 'Saga Petroleum ASA': 0.304}","{'ConocoPhillips': 36.96, 'TotalEnergies EP Norge': 3.547, 'Vår Energi AS': 13.04, 'Norsk Hydro ASA': 6.7, 'Equinor ASA': 0.304}"
njord,1997,0.36702,0.0,0.0,0.0,0.36702,0.0,43751,0.06413606083943728,0.0,0.0,0.0,0.06413606083943728,0.0,Approved for production,Producing,40585.0,njord,True,23.75,2.5000000000000004,319.0952380952381,49.97189686404226,0.0,0.0,16.0,3.0,0.0,14.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,2.0,2.0,2.0,0.0,6.0,2366.3,799.4549268095108,330.0,0.0,2052.0,7150.0,74.1435,993246581.0,equinor energy as,49.794762,662.19,0.502968,1028.0,"{'Den norske stats oljeselskap a.s': 50.0, 'Norsk Hydro Produksjon AS': 22.5, 'Mobil Development Norway AS': 20.0, 'Paladin Resources Norge AS': 7.5}","{'Equinor ASA': 50.0, 'Norsk Hydro ASA': 22.5, 'Mobil Development Norway AS': 20.0, 'Repsol': 7.5}"
heidrun,1997,13.45647,0.32642,0.0,0.0,13.78288,0.0,43771,0.058367242544707605,0.02540653811104297,0.0,0.0,0.06380671471267144,0.0,Producing,Producing,40490.0,heidrun,True,31.071428571428573,11.465428206397002,322.92857142857144,93.37555625266447,0.0,0.0,7.0,1.0,3.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,34.0,0.0,0.0,18.0,0.0,31.0,37.0,12.0,2461.0,0.0,345.6,0.0,669.0,31614.0,368.18578,979188676.0,equinor energy as,1427.516845,1503.98,22.261823,1003660.0,"{'Den norske stats oljeselskap a.s': 76.875, 'Norske Conoco A/S': 18.125, 'Fortum Petroleum AS': 5.0}","{'Equinor ASA': 76.875, 'ConocoPhillips': 18.125, 'Fortum Petroleum AS': 5.0}"
brage,1997,5.86867,0.23043,0.14636,0.0,6.2454600000000005,0.0,43651,0.07346907382248218,0.0061823798374530045,0.0037746795970792094,0.0,0.07730641987924067,0.0,Producing,Producing,40432.0,brage,True,20.0,0.0,136.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,90.0,8.0,0.0,32.0,17.0,62.0,111.0,0.0,2240.6,141.4697965409342,136.91428571428574,0.03779644730092219,526.0,2064.0,178.75652,993245437.0,okea asa,159.684525,856.78,44.912267,1233017.0,"{'Den norske stats oljeselskap a.s': 46.9567, 'Norsk Hydro Produksjon AS': 24.4424, 'Esso Exploration and Production Norway A/S': 16.3434, 'Neste Petroleum AS': 12.2575}","{'Equinor ASA': 46.9567, 'Norsk Hydro ASA': 24.4424, 'Esso Exploration and Production Norway A/S': 16.3434, 'Neste Petroleum AS': 12.2575}"
draugen,1997,10.45162,0.0,0.0,0.0,10.45162,0.00118,43758,0.10647552555598981,0.0,0.0,0.0,0.10647552555598981,0.0003406366588218792,Producing,Producing,21548.0,åsgard,True,22.285714285714285,5.120525385131903,268.7142857142857,17.19634512663333,0.0,0.0,4.0,1.0,2.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,6.0,0.0,0.0,0.0,17.0,7.0,0.0,18.0,5.0,14.0,10.0,27.0,1670.4,0.28284271247460296,253.0,0.0,190.0,7447.0,157.07515,921788932.0,okea asa,1889.529815,427.93,2.429883,8080772.0,"{'Den norske stats oljeselskap a.s': 65.44, 'BP Petroleum Dev. of Norway AS': 18.36, 'A/S Norske Shell': 16.2}","{'Equinor ASA': 65.44, 'Aker BP': 18.36, 'A/S Norske Shell': 16.2}"
edda,1997,0.10369,0.02016,0.00505,0.0,0.12888,0.0,43541,0.0016551432694556212,0.0006220493987984031,8.16264588713659e-05,0.0,0.0021892298355191647,0.0,Producing,Shut down,20900.0,,False,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2525.0,0.0,359.0,0.0,0.0,0.0,,,,,,,,"{'Phillips Petroleum Company Norway': 36.96, 'Fina Production Licenses AS': 30.0, 'Norsk Agip AS': 13.04, 'Elf Petroleum Norge AS': 8.449, 'Norsk Hydro Produksjon AS': 6.7, 'Total Norge AS': 3.547, 'Den norske stats oljeselskap a.s': 1.0, 'Saga Petroleum ASA': 0.304}","{'ConocoPhillips': 36.96, 'TotalEnergies EP Norge': 3.547, 'Vår Energi AS': 13.04, 'Norsk Hydro ASA': 6.7, 'Equinor ASA': 0.304}"
heimdal,1997,0.40706,2.71212,0.0,0.0,3.11919,0.0,43590,0.01006514041209319,0.06878525132613825,0.0,0.0,0.07795324987394106,0.0,Producing,Shut down,2473189.0,heimdal,True,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,3423.0,0.0,120.2,0.0,0.0,0.0,101.01392,993246492.0,equinor energy as,1123.722979,270.76,0.418465,11137.0,"{'Den norske stats oljeselskap a.s': 40.0, 'Marathon Petroleum Norge AS': 23.798, 'Norsk Hydro Produksjon AS': 15.803, 'Elf Petroleum Norge AS': 11.939, 'Total Norge AS': 4.82, 'Saga Petroleum ASA': 3.471, 'AS Uglands Rederi': 0.169}","{'Equinor ASA': 3.471, 'Aker BP': 23.798, 'Norsk Hydro ASA': 15.803, 'TotalEnergies EP Norge': 4.82, 'AS Uglands Rederi': 0.169}"
norne,1997,0.41527000000000003,0.0,0.0,0.0,0.41527000000000003,0.0,43778,0.10976418564358777,0.0,0.0,0.0,0.10976418564358777,0.0,Approved for production,Producing,40672.0,norne,True,24.285714285714285,1.8898223650461359,376.875,2.1671244937540037,0.0,0.0,4.0,1.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3260.0,0.0,330.0,0.0,1992.0,1353.0,761.336994,893246592.0,equinor energy as,383.058529,2944.992072,1.967516,343.0,"{'Den norske stats oljeselskap a.s': 79.0, 'Norsk Hydro Produksjon AS': 8.1, 'Norsk Agip AS': 6.9, 'Enterprise Oil Norwegian AS': 6.0}","{'Equinor ASA': 79.0, 'Norsk Hydro ASA': 8.1, 'Vår Energi AS': 6.9, 'Shell': 6.0}"
ekofisk,1997,14.27176,4.9930900000000005,0.81925,0.0,20.08408,0.0,43506,0.15493796203251115,0.05051386388603596,0.006452739317295382,0.0,0.19165610268647776,0.0,Producing,Producing,20900.0,ekofisk,True,31.363636363636363,5.954371961386478,76.16666666666667,2.6911752530120108,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,3.0,0.0,0.0,187.0,161.0,0.0,0.0,112.0,5.0,250.0,367.0,0.0,3282.6,94.13673034474914,75.85454545454546,1.3508246639469081,4616.0,21250.0,1217.237623,872450912.0,conocophillips skandinavia as,1030.432207,7668.837195,105.359189,5528713.0,"{'Phillips Petroleum Company Norway': 36.96, 'Fina Production Licenses AS': 30.0, 'Norsk Agip AS': 13.04, 'Elf Petroleum Norge AS': 8.449, 'Norsk Hydro Produksjon AS': 6.7, 'Total Norge AS': 3.547, 'Den norske stats oljeselskap a.s': 1.0, 'Saga Petroleum ASA': 0.304}","{'ConocoPhillips': 36.96, 'TotalEnergies EP Norge': 3.547, 'Vår Energi AS': 13.04, 'Norsk Hydro ASA': 6.7, 'Equinor ASA': 0.304}"
lille-frigg,1997,0.13218,0.27113,0.0,0.00327,0.40654999999999997,0.0,43583,0.0028048707635112175,0.00712300046371335,0.0,0.00018484022584629433,0.00925547843499222,0.0,Producing,Shut down,28973585.0,frigg,False,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4451.0,0.0,190.0,0.0,0.0,0.0,,,,,,,,"{'TotalFinaElf Exploration Norge AS': 41.42, 'Norsk Hydro Produksjon AS': 32.87, 'Total Norge AS': 20.71, 'Den norske stats oljeselskap a.s': 5.0}","{'TotalEnergies EP Norge': 20.71, 'Norsk Hydro ASA': 32.87, 'Equinor ASA': 5.0}"
