field,year,net_oil_prod_yearly_mill_sm3,net_gas_prod_yearly_bill_sm3,net_ngl_prod_yearly_mill_sm3,net_condensate_prod_yearly_mill_sm3,net_oil_eq_prod_yearly_mill_sm3,produced_water_yearly_mill_sm3,field_id,net_oil_prod_monthly_sm3_volatility,net_gas_prod_monthly_sm3_volatility,net_ngl_prod_monthly_sm3_volatility,net_condensate_prod_monthly_sm3_volatility,net_oil_eq_prod_monthly_sm3_volatility,produced_water_in_field_volatility,status,current_status,field_owner,processing_field,field_in_emissions,facilities_lifetime_mean,facilities_lifetime_std,facilities_water_depth_mean,facilities_water_depth_std,subsea_facilites_shut_down,surface_facilites_shut_down,subsea_facilites_in_service,surface_facilites_in_service,facility_kind_multi well template,facility_kind_single well template,facility_kind_offshore wind turbine,facility_kind_subsea structure,facility_kind_fpso,facility_kind_jacket 8 legs,facility_kind_condeep monoshaft,facility_kind_loading system,facility_kind_jacket 4 legs,facility_kind_jacket tripod,facility_kind_fsu,facility_kind_semisub steel,facility_kind_condeep 4 shafts,facility_kind_landfall,facility_kind_tlp concrete,facility_kind_jack-up 3 legs,facility_kind_jacket 6 legs,facility_kind_tlp steel,facility_kind_semisub concrete,facility_kind_mopustor,facility_kind_spar,well_status_closed,well_status_drilling,well_status_injecting,well_status_junked,well_status_online/operational,well_status_p&a,well_status_plugged,well_status_producing,well_status_suspended,well_purpose_injection,well_purpose_observation,well_purpose_production,well_subsea_no,well_subsea_yes,well_final_vertical_depth_mean,well_final_vertical_depth_std,well_water_depth_mean,well_water_depth_std,investments_mill_nok,future_investments_mill_nok,yearly_co2_emissions_1000_tonnes,org_number,operator,yearly_ch4_emissions_tons,yearly_nox_emissions_tons,yearly_oil_spill_emissions_tons,yearly_water_emissions_m3,ownership_original,ownership_new_name,current_remaining_recoverable_oil,current_remaining_recoverable_gas,current_remaining_recoverable_ngl,current_remaining_recoverable_condensate,current_remaining_recoverable_oe,original_recoverable_oil,original_recoverable_gas,original_recoverable_ngl,original_recoverable_condensate,original_recoverable_oe,electrified,years_electrified,electricity_mw,oe_fac_prod,ch4_fac_emissions,nox_fac_emissions,co2_fac_emissions,oe_share_prod,ch4_share_emissions,nox_share_emissions,co2_share_emissions,co2e_gwp100_tons,co2e_gwp20_tons,tco2e/ktoe_gwp100,tco2e/ktoe_gwp20
statfjord nord,1997,3.93531,0.17288,0.0923,0.0,4.20051,0.0,43679,0.0538975852258876,0.0004049541687498,0.0003344964555684,0.0,0.0540054581627046,0.0,Producing,Producing,21084.0,statfjord,True,27.5,15.0,241.75,65.03012122598778,0.0,0.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,6.0,9.0,0.0,4.0,0.0,13.0,0.0,17.0,2888.8,0.0,285.0,0.0,255.0,2946.0,0.0,,,0.0,0.0,0.0,0.0,"{'Den norske stats oljeselskap a.s': 50.0, 'Mobil Development Norway AS': 15.0, 'Norske Conoco A/S': 12.08333, 'Esso Exploration and Production Norway A/S': 10.0, 'A/S Norske Shell': 10.0, 'Saga Petroleum ASA': 1.875, 'Enterprise Oil Norwegian AS': 1.04167}","{'Equinor ASA': 1.875, 'Mobil Development Norway AS': 15.0, 'ConocoPhillips': 12.08333, 'Esso Exploration and Production Norway A/S': 10.0, 'A/S Norske Shell': 10.0, 'Shell': 1.04167}",3.72,0.23,0.05,0.0,4.05,44.12,2.37,1.12,0.0,48.62,0,0,0.0,32.43504,10141.199406,4626.83913,1479.849289,0.12950531277285307,1313.3392009659017,599.2002486803254,191.64834502862922,408411.7946669826,481958.7899210731,115748.92512116232,136593.04803268024
veslefrikk,1997,3.47468,0.13919,0.08596,0.0,3.69981,0.0,43618,0.0528509511969675,0.0089524221794321,0.005460506691996,0.0,0.0534181482822934,0.0,Producing,Shut down,21212.0,veslefrikk,True,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,111.0,0.0,0.0,69.0,6.0,36.0,111.0,0.0,3317.0,0.0,175.0,0.0,229.0,0.0,156.20492,993246905.0,equinor energy as,64.319881,973.4661,88.599389,2782760.0,"{'Den norske stats oljeselskap a.s': 55.0, 'Total Norge AS': 18.0, 'RWE Dea Norge AS': 11.25, 'Petro-Canada Norge AS (old)': 9.0, 'Svenska Petroleum Exploration AS': 4.5, 'Norske RWE-DEA AS': 2.25}","{'Equinor ASA': 55.0, 'TotalEnergies EP Norge': 18.0, 'Wintershall Dea Norge AS': 2.25, 'Sval Energi AS': 9.0, 'Svenska Petroleum Exploration AS': 4.5}",0.0,0.0,0.0,0.0,0.0,55.34,4.19,1.81,0.0,62.97,0,0,0.0,3.69981,64.319881,973.4661,156.20492,1.0,128.639762,1946.9322,312.40984,892560.9640599999,899764.790732,287196.5252977598,289514.47787730675
frøy,1997,1.39602,0.28878,0.0,0.01732,1.70211,0.0,43597,0.0262600427542406,0.0052872806208519,0.0,0.0009424564936506,0.0308595177965625,0.0,Producing,Shut down,3810636.0,frigg,False,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,6.0,0.0,6.0,12.0,0.0,3352.2,70.48191257336879,120.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,"{'Den norske stats oljeselskap a.s': 53.96, 'TotalFinaElf Exploration Norge AS': 24.7573, 'Total Norge AS': 15.2346, 'Norsk Hydro Produksjon AS': 6.0481}","{'Equinor ASA': 53.96, 'TotalEnergies EP Norge': 15.2346, 'Norsk Hydro ASA': 6.0481}",0.0,0.0,0.0,0.0,0.0,5.55,1.61,0.0,0.11,7.27,0,0,0.0,2.6854,0.0,0.0,0.0,0.6338385342965667,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hod,1997,0.4676599999999999,0.09469,0.02645,0.0,0.58879,0.0,43485,0.0036315432064903,0.0010441478329095,0.0002376191885935,0.0,0.0047285736045168,0.0,Producing,Producing,21052.0,valhall,True,30.0,0.0,72.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,6.0,30.0,36.0,0.0,2917.5,159.0990257669732,72.0,0.0,3.0,119.0,0.0,,,0.0,0.0,0.0,0.0,"{'Enterprise Oil Norwegian AS': 25.0, 'Elf Petroleum Norge AS': 25.0, 'Amerada Hess Norge AS': 25.0, 'BP Amoco Norge AS': 25.0}","{'Shell': 25.0, 'TotalEnergies EP Norge': 25.0, 'Aker BP': 25.0}",4.75,0.82,0.12,0.0,5.8,15.52,2.64,0.62,0.0,19.34,0,0,0.0,6.30728,610.962122,1255.236,236.04065,0.09335085805608757,57.033838328468065,117.17735766289115,22.034597213616646,58430.11023168647,61624.00517808068,118140.00753701996,124597.75289370833
albuskjell,1997,0.04615,0.19171,0.02005,0.0,0.25789,0.0,43437,0.0004873762469187,0.0018189480393065,0.0002245989692088,0.0,0.0022965882139039,0.0,Producing,Shut down,20900.0,albuskjell,False,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2601.5,88.38834764831844,1286.5,34.64823227814083,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,"{'Phillips Petroleum Company Norway': 36.96, 'Fina Production Licenses AS': 30.0, 'Norsk Agip AS': 13.04, 'Elf Petroleum Norge AS': 8.449, 'Norsk Hydro Produksjon AS': 6.7, 'Total Norge AS': 3.547, 'Den norske stats oljeselskap a.s': 1.0, 'Saga Petroleum ASA': 0.304}","{'ConocoPhillips': 36.96, 'TotalEnergies EP Norge': 3.547, 'Vår Energi AS': 13.04, 'Norsk Hydro ASA': 6.7, 'Equinor ASA': 0.304}",0.0,0.0,0.0,0.0,0.0,7.35,15.53,0.99,0.0,24.76,0,0,0.0,0.25789,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
yme,1997,1.97977,0.0,0.0,0.0,1.97977,0.0,43807,0.0564545091939814,0.0,0.0,0.0,0.0564545091939814,0.0,Producing,Producing,2786469.0,yme,True,20.0,7.071067811865476,86.4,7.797435475847171,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,3.0,0.0,16.0,14.0,5.0,3299.333333333333,124.92531101955808,87.66666666666667,9.237604307034012,207.0,972.0,133.20153,920149790.0,repsol norge as,126.134389,1317.52365,3.48514,44515.0,"{'Den norske stats oljeselskap a.s': 65.0, 'Saga Petroleum ASA': 25.0, 'RWE Dea Norge AS': 10.0}","{'Equinor ASA': 25.0, 'Wintershall Dea Norge AS': 10.0}",6.28,0.0,0.0,0.0,6.28,15.81,0.0,0.0,0.0,15.81,0,0,0.0,1.97977,126.134389,1317.52365,133.20153,1.0,252.268778,2635.0473,266.40306,1053945.12414,1068072.175708,633758.7580159022,642253.6430446346
njord,1997,0.36702,0.0,0.0,0.0,0.36702,0.0,43751,0.0641360608394372,0.0,0.0,0.0,0.0641360608394372,0.0,Approved for production,Producing,40585.0,njord,True,23.75,2.5000000000000004,319.0952380952381,49.97189686404226,0.0,0.0,16.0,3.0,0.0,14.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,2.0,2.0,2.0,0.0,6.0,2366.3,799.4549268095108,330.0,0.0,2052.0,7150.0,74.1435,993246581.0,equinor energy as,49.794762,662.19,0.502968,1028.0,"{'Den norske stats oljeselskap a.s': 50.0, 'Norsk Hydro Produksjon AS': 22.5, 'Mobil Development Norway AS': 20.0, 'Paladin Resources Norge AS': 7.5}","{'Equinor ASA': 50.0, 'Norsk Hydro ASA': 22.5, 'Mobil Development Norway AS': 20.0, 'Repsol': 7.5}",5.05,13.93,3.28,0.0,25.21,32.07,24.43,5.63,0.0,67.2,0,0,0.0,0.36702,49.794762,662.19,74.1435,1.0,99.589524,1324.38,148.287,543291.16572,548868.179064,1762234.2032742477,1780323.957511074
heidrun,1997,13.45647,0.32642,0.0,0.0,13.78288,0.0,43771,0.0583672425447076,0.0254065381110429,0.0,0.0,0.0638067147126714,0.0,Producing,Producing,40490.0,heidrun,True,31.071428571428573,11.465428206397002,322.92857142857144,93.37555625266448,0.0,0.0,7.0,1.0,3.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,34.0,0.0,0.0,18.0,0.0,31.0,37.0,12.0,2461.0,0.0,345.6,0.0,669.0,31614.0,368.18578,979188676.0,equinor energy as,1427.516845,1503.98,22.261823,1003660.0,"{'Den norske stats oljeselskap a.s': 76.875, 'Norske Conoco A/S': 18.125, 'Fortum Petroleum AS': 5.0}","{'Equinor ASA': 76.875, 'ConocoPhillips': 18.125, 'Fortum Petroleum AS': 5.0}",30.0,23.71,1.96,0.0,57.43,204.91,52.47,3.05,0.0,263.18,0,0,0.0,13.78288,1427.516845,1503.98,368.18578,1.0,2855.03369,3007.96,736.37156,1712378.7307000002,1872260.61734,147904.2194357196,161713.78458707643
brage,1997,5.86867,0.23043,0.14636,0.0,6.2454600000000005,0.0,43651,0.0734690738224821,0.006182379837453,0.0037746795970792,0.0,0.0773064198792406,0.0,Producing,Producing,40432.0,brage,True,20.0,0.0,136.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,90.0,8.0,0.0,32.0,17.0,62.0,111.0,0.0,2240.6,141.4697965409342,136.91428571428574,0.0377964473009221,526.0,2064.0,178.75652,993245437.0,okea asa,159.684525,856.78,44.912267,1233017.0,"{'Den norske stats oljeselskap a.s': 46.9567, 'Norsk Hydro Produksjon AS': 24.4424, 'Esso Exploration and Production Norway A/S': 16.3434, 'Neste Petroleum AS': 12.2575}","{'Equinor ASA': 46.9567, 'Norsk Hydro ASA': 24.4424, 'Esso Exploration and Production Norway A/S': 16.3434, 'Neste Petroleum AS': 12.2575}",1.7,0.35,0.07,0.0,2.18,62.53,4.71,1.5,0.0,70.09,0,0,0.0,6.2454600000000005,159.684525,856.78,178.75652,1.0,319.36905,1713.56,357.51304,874307.8715,892192.5383,166655.89150625683,170064.97106164586
draugen,1997,10.45162,0.0,0.0,0.0,10.45162,0.00118,43758,0.1064755255559898,0.0,0.0,0.0,0.1064755255559898,0.0003406366588218,Producing,Producing,21548.0,åsgard,True,22.285714285714285,5.120525385131903,268.7142857142857,17.19634512663333,0.0,0.0,4.0,1.0,2.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,6.0,0.0,0.0,0.0,17.0,7.0,0.0,18.0,5.0,14.0,10.0,27.0,1670.4,0.2828427124746029,253.0,0.0,190.0,7447.0,157.07515,921788932.0,okea asa,1889.529815,427.93,2.429883,8080772.0,"{'Den norske stats oljeselskap a.s': 65.44, 'BP Petroleum Dev. of Norway AS': 18.36, 'A/S Norske Shell': 16.2}","{'Equinor ASA': 65.44, 'Aker BP': 18.36, 'A/S Norske Shell': 16.2}",8.4,1.94,0.24,0.0,10.8,153.71,3.67,2.9,0.0,162.89,0,0,0.0,10.45162,1889.529815,427.93,157.07515,1.0,3779.05963,855.86,314.1503,680856.6488999999,892483.9881800001,77551.96128857126,101657.0577871683
