field,year,yearly_co2_emissions_1000_tonnes,org_number,operator
grane ,2022,180.655154,993246298,equinor energy as
grane ,2023,188.26798,993246298,equinor energy as
norne ,1997,761.336994,893246592,equinor energy as
norne ,1998,418.303952,893246592,equinor energy as
norne ,1999,347.05988,893246592,equinor energy as
norne ,2000,431.265401,893246592,equinor energy as
norne ,2001,397.639212,893246592,equinor energy as
norne ,2002,393.463569,893246592,equinor energy as
norne ,2003,369.359921,893246592,equinor energy as
norne ,2004,343.192268,893246592,equinor energy as
norne ,2005,314.623221,893246592,equinor energy as
norne ,2006,283.196583,893246592,equinor energy as
norne ,2007,271.475889,893246592,equinor energy as
norne ,2008,250.312704,893246592,equinor energy as
norne ,2009,322.91353,893246592,equinor energy as
statfjord ,2005,1517.315901,993246794,equinor energy as
statfjord ,2006,1197.227856,993246794,equinor energy as
statfjord ,2007,1094.158469,993246794,equinor energy as
statfjord ,2008,967.468782,993246794,equinor energy as
statfjord ,2009,575.771736,993246794,equinor energy as
statfjord ,2010,659.790536,993246794,equinor energy as
statfjord ,2011,678.601256,993246794,equinor energy as
statfjord ,2012,725.745063,993246794,equinor energy as
statfjord ,2013,781.199874,993246794,equinor energy as
statfjord ,2014,826.575377,993246794,equinor energy as
statfjord ,2015,855.168407,993246794,equinor energy as
statfjord ,2016,829.414916,993246794,equinor energy as
statfjord ,2017,823.944934,993246794,equinor energy as
statfjord ,2018,812.688059,993246794,equinor energy as
statfjord ,2019,715.520926,993246794,equinor energy as
statfjord ,2020,798.707016,993246794,equinor energy as
statfjord ,2021,758.504843,993246794,equinor energy as
statfjord ,2022,667.550435,993246794,equinor energy as
statfjord ,2023,686.505963,993246794,equinor energy as
snorre ,1997,370.679206,993246751,equinor energy as
snorre ,1998,385.19525,993246751,equinor energy as
snorre ,1999,409.544989,993246751,equinor energy as
snorre ,2000,608.764468,993246751,equinor energy as
snorre ,2001,486.756371,993246751,equinor energy as
snorre ,2002,575.12137,993246751,equinor energy as
snorre ,2003,538.733726,993246751,equinor energy as
snorre ,2004,531.8735,993246751,equinor energy as
snorre ,2005,531.410011,993246751,equinor energy as
snorre ,2006,513.503511,993246751,equinor energy as
snorre ,2007,504.632184,993246751,equinor energy as
snorre ,2008,505.538332,993246751,equinor energy as
snorre ,2009,486.173473,993246751,equinor energy as
snorre ,2010,457.841619,993246751,equinor energy as
snorre ,2011,475.759706,993246751,equinor energy as
snorre ,2012,470.967165,993246751,equinor energy as
snorre ,2013,444.286663,993246751,equinor energy as
snorre ,2014,478.866898,993246751,equinor energy as
snorre ,2015,490.841505,993246751,equinor energy as
snorre ,2016,486.875189,993246751,equinor energy as
snorre ,2017,437.346011,993246751,equinor energy as
snorre ,2018,465.328729,993246751,equinor energy as
snorre ,2019,383.194231,993246751,equinor energy as
snorre ,2020,455.392472,993246751,equinor energy as
snorre ,2021,515.975483,993246751,equinor energy as
snorre ,2022,548.313895,993246751,equinor energy as
snorre ,2023,445.189763,993246751,equinor energy as
oseberg ,1997,808.69582,993246603,equinor energy as
oseberg ,1998,809.09795,993246603,equinor energy as
oseberg ,1999,800.43948,993246603,equinor energy as
oseberg ,2000,893.431031,993246603,equinor energy as
oseberg ,2001,813.476321,993246603,equinor energy as
oseberg ,2002,826.909581,993246603,equinor energy as
oseberg ,2003,920.729342,993246603,equinor energy as
oseberg ,2004,948.887288,993246603,equinor energy as
oseberg ,2005,937.780039,993246603,equinor energy as
oseberg ,2006,783.599127,993246603,equinor energy as
oseberg ,2007,1000.209953,993246603,equinor energy as
oseberg ,2008,944.442583,993246603,equinor energy as
norne ,2010,316.793892,893246592,equinor energy as
norne ,2011,300.702064,893246592,equinor energy as
norne ,2012,267.935332,893246592,equinor energy as
norne ,2013,249.10167,893246592,equinor energy as
norne ,2014,357.24556,893246592,equinor energy as
norne ,2015,370.468326,893246592,equinor energy as
norne ,2016,324.117067,893246592,equinor energy as
norne ,2017,373.437019,893246592,equinor energy as
norne ,2018,328.426678,893246592,equinor energy as
norne ,2019,334.024164,893246592,equinor energy as
norne ,2020,342.250469,893246592,equinor energy as
norne ,2021,318.169002,893246592,equinor energy as
norne ,2022,327.532837,893246592,equinor energy as
norne ,2023,256.304769,893246592,equinor energy as
veslefrikk ,1997,156.20492,993246905,equinor energy as
veslefrikk ,1998,175.034712,993246905,equinor energy as
veslefrikk ,1999,221.337202,993246905,equinor energy as
veslefrikk ,2000,216.912436,993246905,equinor energy as
veslefrikk ,2001,205.68072,993246905,equinor energy as
veslefrikk ,2002,203.866049,993246905,equinor energy as
veslefrikk ,2003,190.768933,993246905,equinor energy as
veslefrikk ,2004,222.62626,993246905,equinor energy as
veslefrikk ,2005,176.718141,993246905,equinor energy as
veslefrikk ,2006,201.999722,993246905,equinor energy as
veslefrikk ,2007,170.303744,993246905,equinor energy as
veslefrikk ,2008,172.049226,993246905,equinor energy as
veslefrikk ,2009,172.114707,993246905,equinor energy as
veslefrikk ,2010,190.662271,993246905,equinor energy as
veslefrikk ,2011,190.895515,993246905,equinor energy as
veslefrikk ,2012,167.183553,993246905,equinor energy as
veslefrikk ,2013,165.086674,993246905,equinor energy as
veslefrikk ,2014,168.317472,993246905,equinor energy as
veslefrikk ,2015,173.230001,993246905,equinor energy as
veslefrikk ,2016,159.964322,993246905,equinor energy as
veslefrikk ,2017,140.136964,993246905,equinor energy as
veslefrikk ,2018,119.254902,993246905,equinor energy as
veslefrikk ,2019,128.4423,993246905,equinor energy as
veslefrikk ,2020,112.940669,993246905,equinor energy as
veslefrikk ,2021,106.138328,993246905,equinor energy as
veslefrikk ,2022,18.142156,993246905,equinor energy as
volve ,2007,12.629707,993246875,equinor energy as
volve ,2008,178.97288,993246875,equinor energy as
volve ,2009,145.801324,993246875,equinor energy as
volve ,2010,137.82097,993246875,equinor energy as
volve ,2011,114.997465,993246875,equinor energy as
volve ,2012,104.541599,993246875,equinor energy as
skarv ,2020,303.59563,912728544,aker bp asa
skarv ,2021,323.523499,912728544,aker bp asa
skarv ,2022,336.974362,912728544,aker bp asa
skarv ,2023,353.125136,912728544,aker bp asa
vale ,2001,2.9104,912732673,sval energi as
vale ,2005,6.53072,912732673,sval energi as
vale ,2023,0.829612,912732673,sval energi as
vigdis ,1997,12.668736,993246751,equinor energy as
vigdis ,1998,4.1408,993246751,equinor energy as
vigdis ,1999,16.17872,993246751,equinor energy as
vigdis ,2002,13.158516,993246751,equinor energy as
vigdis ,2003,16.396809,993246751,equinor energy as
vigdis ,2004,12.92903,993246751,equinor energy as
vigdis ,2005,10.27678,993246751,equinor energy as
vigdis ,2006,3.036633,993246751,equinor energy as
vigdis ,2007,11.323132,993246751,equinor energy as
vigdis ,2008,12.025553,993246751,equinor energy as
vigdis ,2009,7.700041,993246751,equinor energy as
vigdis ,2010,7.188618,993246751,equinor energy as
vigdis ,2011,14.709069,993246751,equinor energy as
vigdis ,2012,17.983988,993246751,equinor energy as
vigdis ,2013,21.296575,993246751,equinor energy as
vigdis ,2014,6.911038,993246751,equinor energy as
vigdis ,2015,8.055113,993246751,equinor energy as
vigdis ,2016,4.525923,993246751,equinor energy as
vigdis ,2017,4.043808,993246751,equinor energy as
