field,year,yearly_ch4_emissions_tons,org_number,operator
grane ,2022,36.071693,993246298,equinor energy as
grane ,2023,66.983955,993246298,equinor energy as
norne ,1997,383.058529,893246592,equinor energy as
norne ,1998,826.358898,893246592,equinor energy as
norne ,1999,1042.015537,893246592,equinor energy as
norne ,2000,1306.985347,893246592,equinor energy as
norne ,2001,1438.56997,893246592,equinor energy as
norne ,2002,1369.450943,893246592,equinor energy as
norne ,2003,900.994215,893246592,equinor energy as
norne ,2004,858.949716,893246592,equinor energy as
norne ,2005,583.124788,893246592,equinor energy as
norne ,2006,652.427243,893246592,equinor energy as
norne ,2007,476.236516,893246592,equinor energy as
norne ,2008,338.355252,893246592,equinor energy as
norne ,2009,343.15688,893246592,equinor energy as
statfjord ,2005,900.35615,993246794,equinor energy as
statfjord ,2006,715.486508,993246794,equinor energy as
statfjord ,2007,661.136602,993246794,equinor energy as
statfjord ,2008,569.019741,993246794,equinor energy as
statfjord ,2009,334.751772,993246794,equinor energy as
statfjord ,2010,289.459399,993246794,equinor energy as
statfjord ,2011,348.731752,993246794,equinor energy as
statfjord ,2012,305.167995,993246794,equinor energy as
statfjord ,2013,296.866215,993246794,equinor energy as
statfjord ,2014,481.728863,993246794,equinor energy as
statfjord ,2015,583.314365,993246794,equinor energy as
statfjord ,2016,924.705977,993246794,equinor energy as
statfjord ,2017,969.288935,993246794,equinor energy as
statfjord ,2018,980.278271,993246794,equinor energy as
statfjord ,2019,659.827984,993246794,equinor energy as
statfjord ,2020,584.519549,993246794,equinor energy as
statfjord ,2021,661.739929,993246794,equinor energy as
statfjord ,2022,495.923681,993246794,equinor energy as
statfjord ,2023,370.186694,993246794,equinor energy as
snorre ,1997,159.530559,993246751,equinor energy as
snorre ,1998,195.667601,993246751,equinor energy as
snorre ,1999,201.180616,993246751,equinor energy as
snorre ,2000,184.426267,993246751,equinor energy as
snorre ,2001,127.225897,993246751,equinor energy as
snorre ,2002,188.788881,993246751,equinor energy as
snorre ,2003,226.687291,993246751,equinor energy as
snorre ,2004,201.774545,993246751,equinor energy as
snorre ,2005,184.384679,993246751,equinor energy as
