field,year,yearly_nox_emissions_tons,org_number,operator
grane ,2022,404.47072,993246298,equinor energy as
grane ,2023,306.38291,993246298,equinor energy as
norne ,1997,2944.992072,893246592,equinor energy as
norne ,1998,1792.114235,893246592,equinor energy as
norne ,1999,1412.344364,893246592,equinor energy as
norne ,2000,2081.221558,893246592,equinor energy as
norne ,2001,1376.130763,893246592,equinor energy as
norne ,2002,1502.420036,893246592,equinor energy as
norne ,2003,1711.978232,893246592,equinor energy as
norne ,2004,1142.860742,893246592,equinor energy as
norne ,2005,1484.109318,893246592,equinor energy as
norne ,2006,1444.832116,893246592,equinor energy as
norne ,2007,1310.120121,893246592,equinor energy as
norne ,2008,1120.377573,893246592,equinor energy as
statfjord ,2005,6313.357907,993246794,equinor energy as
statfjord ,2006,4983.051325,993246794,equinor energy as
statfjord ,2007,4231.17032,993246794,equinor energy as
statfjord ,2008,3495.393796,993246794,equinor energy as
statfjord ,2009,2151.285024,993246794,equinor energy as
statfjord ,2010,2480.481579,993246794,equinor energy as
statfjord ,2011,2357.869188,993246794,equinor energy as
statfjord ,2012,2394.30544,993246794,equinor energy as
statfjord ,2013,2471.098003,993246794,equinor energy as
statfjord ,2014,2666.378968,993246794,equinor energy as
statfjord ,2015,2810.083478,993246794,equinor energy as
statfjord ,2016,2779.971587,993246794,equinor energy as
statfjord ,2017,2655.256948,993246794,equinor energy as
statfjord ,2018,2604.697335,993246794,equinor energy as
statfjord ,2019,2282.223144,993246794,equinor energy as
statfjord ,2020,2568.048691,993246794,equinor energy as
statfjord ,2021,2558.519808,993246794,equinor energy as
statfjord ,2022,2335.053733,993246794,equinor energy as
statfjord ,2023,2406.012828,993246794,equinor energy as
snorre ,1997,1923.405115,993246751,equinor energy as
snorre ,1998,1860.6126,993246751,equinor energy as
snorre ,1999,1561.527725,993246751,equinor energy as
snorre ,2000,2629.35612,993246751,equinor energy as
snorre ,2001,2444.168828,993246751,equinor energy as
snorre ,2002,2322.716078,993246751,equinor energy as
snorre ,2003,1945.015635,993246751,equinor energy as
snorre ,2004,1990.873098,993246751,equinor energy as
snorre ,2005,1986.735864,993246751,equinor energy as
snorre ,2006,1965.620367,993246751,equinor energy as
snorre ,2007,2498.100139,993246751,equinor energy as
snorre ,2008,2382.593266,993246751,equinor energy as
snorre ,2009,2288.686655,993246751,equinor energy as
snorre ,2010,2307.928032,993246751,equinor energy as
snorre ,2011,2452.73744,993246751,equinor energy as
snorre ,2012,2495.982028,993246751,equinor energy as
snorre ,2013,2213.971317,993246751,equinor energy as
snorre ,2014,2591.361728,993246751,equinor energy as
snorre ,2015,2461.584386,993246751,equinor energy as
snorre ,2016,2529.078461,993246751,equinor energy as
snorre ,2017,2240.711523,993246751,equinor energy as
snorre ,2018,2268.902365,993246751,equinor energy as
snorre ,2019,1876.571406,993246751,equinor energy as
snorre ,2020,2531.793956,993246751,equinor energy as
snorre ,2021,2855.991081,993246751,equinor energy as
snorre ,2022,3038.264925,993246751,equinor energy as
snorre ,2023,2125.705411,993246751,equinor energy as
oseberg ,1997,3606.14,993246603,equinor energy as
oseberg ,1998,3632.506,993246603,equinor energy as
oseberg ,1999,3258.08917,993246603,equinor energy as
oseberg ,2000,3353.10718,993246603,equinor energy as
oseberg ,2001,2367.618291,993246603,equinor energy as
oseberg ,2002,3424.521858,993246603,equinor energy as
oseberg ,2003,5081.338257,993246603,equinor energy as
oseberg ,2004,5526.102,993246603,equinor energy as
oseberg ,2005,4707.149,993246603,equinor energy as
oseberg ,2006,5743.331,993246603,equinor energy as
oseberg ,2007,5357.616,993246603,equinor energy as
oseberg ,2008,4762.139133,993246603,equinor energy as
norne ,2009,1046.821945,893246592,equinor energy as
norne ,2010,1528.304846,893246592,equinor energy as
norne ,2011,1400.774031,893246592,equinor energy as
norne ,2012,657.96084,893246592,equinor energy as
norne ,2013,937.810531,893246592,equinor energy as
norne ,2014,787.984169,893246592,equinor energy as
norne ,2015,751.495129,893246592,equinor energy as
norne ,2016,653.724919,893246592,equinor energy as
norne ,2017,804.270954,893246592,equinor energy as
norne ,2018,668.228418,893246592,equinor energy as
norne ,2019,763.600251,893246592,equinor energy as
norne ,2020,754.644176,893246592,equinor energy as
norne ,2021,781.118397,893246592,equinor energy as
norne ,2022,617.761817,893246592,equinor energy as
norne ,2023,427.826347,893246592,equinor energy as
veslefrikk ,1997,973.4661,993246905,equinor energy as
veslefrikk ,1998,1025.471684,993246905,equinor energy as
veslefrikk ,1999,1378.207298,993246905,equinor energy as
veslefrikk ,2000,1491.450056,993246905,equinor energy as
veslefrikk ,2001,1306.450969,993246905,equinor energy as
veslefrikk ,2002,1315.95701,993246905,equinor energy as
veslefrikk ,2003,1207.865912,993246905,equinor energy as
veslefrikk ,2004,1472.773425,993246905,equinor energy as
veslefrikk ,2005,1309.808724,993246905,equinor energy as
veslefrikk ,2006,1420.093804,993246905,equinor energy as
veslefrikk ,2007,1687.807601,993246905,equinor energy as
veslefrikk ,2008,1273.552982,993246905,equinor energy as
veslefrikk ,2009,1240.508321,993246905,equinor energy as
veslefrikk ,2010,1421.548567,993246905,equinor energy as
veslefrikk ,2011,1493.977005,993246905,equinor energy as
veslefrikk ,2012,1234.871214,993246905,equinor energy as
veslefrikk ,2013,1228.284309,993246905,equinor energy as
veslefrikk ,2014,1156.243046,993246905,equinor energy as
veslefrikk ,2015,1125.924872,993246905,equinor energy as
veslefrikk ,2016,913.64267,993246905,equinor energy as
veslefrikk ,2017,798.436116,993246905,equinor energy as
veslefrikk ,2018,695.023861,993246905,equinor energy as
veslefrikk ,2019,739.834736,993246905,equinor energy as
veslefrikk ,2020,632.797604,993246905,equinor energy as
veslefrikk ,2021,680.540555,993246905,equinor energy as
veslefrikk ,2022,179.49898,993246905,equinor energy as
volve ,2007,249.654145,993246875,equinor energy as
volve ,2008,524.796307,993246875,equinor energy as
volve ,2009,507.554597,993246875,equinor energy as
volve ,2010,429.821127,993246875,equinor energy as
volve ,2011,409.849609,993246875,equinor energy as
volve ,2012,401.233311,993246875,equinor energy as
skarv ,2020,208.306016,912728544,aker bp asa
skarv ,2021,436.832126,912728544,aker bp asa
skarv ,2022,317.04109,912728544,aker bp asa
skarv ,2023,299.07632,912728544,aker bp asa
vale ,2001,63.665,912732673,sval energi as
vale ,2005,142.86,912732673,sval energi as
vale ,2023,0.014634,912732673,sval energi as
vigdis ,1997,271.07541,993246751,equinor energy as
vigdis ,1998,90.58,993246751,equinor energy as
vigdis ,1999,353.9095,993246751,equinor energy as
vigdis ,2002,253.26868,993246751,equinor energy as
vigdis ,2003,358.68021,993246751,equinor energy as
vigdis ,2004,282.82254,993246751,equinor energy as
vigdis ,2005,224.80458,993246751,equinor energy as
vigdis ,2006,66.42636,993246751,equinor energy as
vigdis ,2007,247.69353,993246751,equinor energy as
vigdis ,2008,265.5485,993246751,equinor energy as
vigdis ,2009,170.032464,993246751,equinor energy as
vigdis ,2010,131.61645,993246751,equinor energy as
vigdis ,2011,324.80595,993246751,equinor energy as
vigdis ,2012,397.122775,993246751,equinor energy as
vigdis ,2013,437.797791,993246751,equinor energy as
vigdis ,2014,148.449682,993246751,equinor energy as
vigdis ,2015,129.854664,993246751,equinor energy as
vigdis ,2016,74.736918,993246751,equinor energy as
vigdis ,2017,68.93181,993246751,equinor energy as
