field,year,yearly_oil_spill_emissions_tons,org_number,operator
grane ,2022,16.327993,993246298,equinor energy as
grane ,2023,24.543974,993246298,equinor energy as
norne ,1997,1.967516,893246592,equinor energy as
norne ,1998,3.134315,893246592,equinor energy as
norne ,1999,11.709334,893246592,equinor energy as
norne ,2000,5.528466,893246592,equinor energy as
norne ,2001,26.437089,893246592,equinor energy as
norne ,2002,24.039432,893246592,equinor energy as
norne ,2003,45.584901,893246592,equinor energy as
norne ,2004,63.671194,893246592,equinor energy as
norne ,2005,369.295555,893246592,equinor energy as
norne ,2006,88.094175,893246592,equinor energy as
norne ,2007,49.150552,893246592,equinor energy as
norne ,2008,51.878794,893246592,equinor energy as
statfjord ,2005,770.068953,993246794,equinor energy as
statfjord ,2006,564.081112,993246794,equinor energy as
statfjord ,2007,4137.197766,993246794,equinor energy as
statfjord ,2008,423.613115,993246794,equinor energy as
statfjord ,2009,404.035074,993246794,equinor energy as
statfjord ,2010,260.929623,993246794,equinor energy as
statfjord ,2011,270.291724,993246794,equinor energy as
statfjord ,2012,322.808941,993246794,equinor energy as
statfjord ,2013,366.594402,993246794,equinor energy as
statfjord ,2014,452.939755,993246794,equinor energy as
statfjord ,2015,399.964142,993246794,equinor energy as
statfjord ,2016,329.033517,993246794,equinor energy as
statfjord ,2017,335.124521,993246794,equinor energy as
statfjord ,2018,283.31025,993246794,equinor energy as
statfjord ,2019,369.441491,993246794,equinor energy as
statfjord ,2020,424.779756,993246794,equinor energy as
statfjord ,2021,286.947737,993246794,equinor energy as
statfjord ,2022,257.667092,993246794,equinor energy as
statfjord ,2023,278.499812,993246794,equinor energy as
snorre ,1997,139.590009,993246751,equinor energy as
snorre ,1998,95.706925,993246751,equinor energy as
snorre ,1999,264.676497,993246751,equinor energy as
snorre ,2000,207.272366,993246751,equinor energy as
snorre ,2001,340.672961,993246751,equinor energy as
snorre ,2002,263.169798,993246751,equinor energy as
snorre ,2003,317.397426,993246751,equinor energy as
snorre ,2004,228.069004,993246751,equinor energy as
snorre ,2005,153.219464,993246751,equinor energy as
snorre ,2006,170.058826,993246751,equinor energy as
snorre ,2007,182.88364,993246751,equinor energy as
snorre ,2008,157.376947,993246751,equinor energy as
snorre ,2009,128.396057,993246751,equinor energy as
snorre ,2010,116.157061,993246751,equinor energy as
snorre ,2011,99.3642,993246751,equinor energy as
snorre ,2012,84.511851,993246751,equinor energy as
snorre ,2013,142.561826,993246751,equinor energy as
snorre ,2014,107.600945,993246751,equinor energy as
snorre ,2015,152.565287,993246751,equinor energy as
snorre ,2016,198.335401,993246751,equinor energy as
snorre ,2017,179.679102,993246751,equinor energy as
snorre ,2018,151.218397,993246751,equinor energy as
snorre ,2019,129.701039,993246751,equinor energy as
snorre ,2020,89.798053,993246751,equinor energy as
snorre ,2021,132.579051,993246751,equinor energy as
snorre ,2022,158.101455,993246751,equinor energy as
snorre ,2023,122.294829,993246751,equinor energy as
oseberg ,1997,74.756825,993246603,equinor energy as
oseberg ,1998,123.704727,993246603,equinor energy as
oseberg ,1999,117.630802,993246603,equinor energy as
oseberg ,2000,99.053663,993246603,equinor energy as
oseberg ,2001,79.066288,993246603,equinor energy as
oseberg ,2002,60.603433,993246603,equinor energy as
oseberg ,2003,76.837899,993246603,equinor energy as
oseberg ,2004,97.333777,993246603,equinor energy as
