field,year,yearly_water_emissions_m3,org_number,yearly_subsea_water_emissions,operator
statfjord ,2005,78650815.6,993246794,320517,equinor energy as
statfjord ,2006,67105468.0,993246794,,equinor energy as
statfjord ,2007,76170997.0,993246794,,equinor energy as
statfjord ,2008,65541633.0,993246794,,equinor energy as
statfjord ,2009,43587479.0,993246794,,equinor energy as
statfjord ,2010,43583649.9,993246794,,equinor energy as
statfjord ,2011,42617483.6,993246794,,equinor energy as
statfjord ,2012,46704084.23,993246794,,equinor energy as
statfjord ,2013,50557687.1,993246794,,equinor energy as
statfjord ,2014,54297359.81667,993246794,,equinor energy as
statfjord ,2015,52739662.775134,993246794,,equinor energy as
statfjord ,2016,46090150.879722,993246794,,equinor energy as
statfjord ,2017,43027693.723,993246794,,equinor energy as
statfjord ,2018,40930766.43413,993246794,,equinor energy as
statfjord ,2019,33733268.742032,993246794,,equinor energy as
statfjord ,2020,43251917.661,993246794,,equinor energy as
statfjord ,2021,42221584.023191,993246794,,equinor energy as
statfjord ,2022,34906484.80848,993246794,,equinor energy as
statfjord ,2023,34437283.4667,993246794,,equinor energy as
snorre ,1997,4923273.0,993246751,,equinor energy as
snorre ,1998,5291911.0,993246751,414199,equinor energy as
snorre ,1999,8044594.0,993246751,72656,equinor energy as
snorre ,2000,7244339.8,993246751,,equinor energy as
snorre ,2001,8503104.0,993246751,,equinor energy as
snorre ,2002,7956286.0,993246751,387186,equinor energy as
snorre ,2003,8883760.0,993246751,1108059,equinor energy as
snorre ,2004,7370157.0,993246751,2115563,equinor energy as
snorre ,2005,5906739.5,993246751,1876610,equinor energy as
snorre ,2006,9090817.4,993246751,529989,equinor energy as
snorre ,2007,11976399.1,993246751,15198,equinor energy as
snorre ,2008,10836089.6,993246751,27627,equinor energy as
snorre ,2009,9681293.1,993246751,9036.3,equinor energy as
snorre ,2010,10575171.41,993246751,,equinor energy as
snorre ,2011,11463811.63,993246751,,equinor energy as
snorre ,2012,12109634.77,993246751,,equinor energy as
snorre ,2013,13364304.54,993246751,,equinor energy as
snorre ,2014,14026510.54,993246751,,equinor energy as
snorre ,2015,15856907.29,993246751,,equinor energy as
snorre ,2016,15941233.31,993246751,,equinor energy as
snorre ,2017,13851464.93,993246751,,equinor energy as
snorre ,2018,14547073.568,993246751,,equinor energy as
snorre ,2019,9926161.343,993246751,,equinor energy as
snorre ,2020,8690531.055068,993246751,,equinor energy as
snorre ,2021,12423215.511795,993246751,,equinor energy as
snorre ,2022,13486198.921724,993246751,,equinor energy as
snorre ,2023,11997351.947086,993246751,,equinor energy as
oseberg ,1997,2591747.0,993246603,,equinor energy as
oseberg ,1998,3441833.0,993246603,,equinor energy as
oseberg ,1999,3200643.0,993246603,,equinor energy as
oseberg ,2000,2988299.0,993246603,,equinor energy as
oseberg ,2001,2276421.0,993246603,,equinor energy as
oseberg ,2002,2040705.0,993246603,,equinor energy as
oseberg ,2003,2764156.0,993246603,,equinor energy as
oseberg ,2004,3147099.0,993246603,,equinor energy as
oseberg ,2005,3282799.1,993246603,,equinor energy as
oseberg ,2006,1507247.0,993246603,1339072,equinor energy as
oseberg ,2007,1076918.3,993246603,1473339,equinor energy as
oseberg ,2008,1095572.55,993246603,1499427,equinor energy as
skarv ,2020,140405.60875,912728544,,aker bp asa
skarv ,2021,211732.37075,912728544,,aker bp asa
skarv ,2022,381836.1,912728544,,aker bp asa
skarv ,2023,284391.286,912728544,,aker bp asa
vale ,2005,327.7,912732673,,sval energi as
vale ,2023,366.0,912732673,,sval energi as
vigdis ,2004,769.0,993246751,,equinor energy as
vigdis ,2005,52.9,993246751,,equinor energy as
vigdis ,2007,33.5,993246751,,equinor energy as
vigdis ,2008,3.0,993246751,,equinor energy as
vigdis ,2010,110.035,993246751,,equinor energy as
vigdis ,2015,455.34,993246751,,equinor energy as
vigdis ,2016,668.7,993246751,,equinor energy as
vigdis ,2017,432.2,993246751,,equinor energy as
vigdis ,2019,719.0,993246751,,equinor energy as
vigdis ,2020,6267.4,993246751,,equinor energy as
vigdis ,2021,160.55,993246751,,equinor energy as
vigdis ,2023,2360.6,993246751,,equinor energy as
