fldName,fldDescriptionHeading,fldDescriptionText,fldNpdidField,fldDescriptionDateUpdated,DatesyncNPD
ALBUSKJELL,Reservoar,Albuskjell produserte gass og kondensat fra kritt av maastricht og tidligpaleocen alder. Forekomsten ligger over en saltstruktur. Hovedreservoaret er i Torformasjonen av senkritt alder på 3200 meters dyp. Den overliggende Ekofiskformasjonen har dårligere reservoaregenskaper og er lite drenert. Feltet har store gjenværende ressurser.,43437,28.02.2023,28.05.2024
ALBUSKJELL,Utvinning,Feltet ble produsert med trykkavlastning.,43437,28.02.2023,28.05.2024
ALBUSKJELL,Transport,Brønnstrømmen ble transportert i rørledning til Ekofisk-senteret for eksport.,43437,28.02.2023,28.05.2024
ALBUSKJELL,Utbygging,"Albuskjell ligger i den sørlige delen av norsk sektor i Nordsjøen, 20 kilometer vest for Ekofisk. Vanndybden er 70 meter. Albuskjell ble påvist i 1972 og plan for utbygging og drift (PUD) ble godkjent i 1975. Feltet ble bygd ut med to stålinnretninger for boring og produksjon. Produksjonen startet i 1979.",43437,28.02.2023,28.05.2024
ALBUSKJELL,Status,Feltet ble stengt ned i 1998 og innretningene fjernet i henholdsvis 2011 og 2013. Feltet evalueres for en gjenutbygging i sammenheng med andre nedstengte felt i området. ,43437,09.12.2023,28.05.2024
ALVE,Utvinning,Feltet produseres med trykkavlastning,4444332,28.02.2023,28.05.2024
ALVE,Transport,Oljen losses fra Norneskipet og gassen transporteres via Nornerørledningen til Åsgard Transport System (ÅTS) og videre til terminalen på Kårstø for eksport.,4444332,28.02.2023,28.05.2024
ALVE,Reservoar,"Alve produserer olje og gass fra sandstein av tidlig- og mellomjura alder i Tilje-, Not- and Garnformasjonene. Reservoaret ligger på 3600 meters dyp og har moderat til god kvalitet.",4444332,28.02.2023,28.05.2024
ALVE,Status,Produksjonen fra Alve er begrenset av den kommersielle avtalen med Nornelisensen og gassbehandlingskapasiteten på Norneskipet. Overkapasitet på skipet har i senere år gjort det mulig å prosessere større gassvolumer fra Alve. Den langsiktige aktiviteten på feltet er å optimalisere produksjonen. I 2023 ble det innvilget fritak fra PUD for utbygging av funnet 6507/3-8 Andvare. Andvare skal bores og produseres fra en ledig brønnslisse på Norne.,4444332,12.12.2023,28.05.2024
ALVE,Utbygging,"Alve ligger i Norskehavet, 16 kilometer sørvest for Norne. Vanndybden er 370 meter. Alve ble påvist i 1990, og plan for utbygging og drift (PUD) ble godkjent i 2007. Utbyggingskonseptet er en standard bunnramme med fire produksjonsbrønner koblet til produksjons- og lagerskipet Norne (FPSO) med en rørledning. Produksjonen startet i 2009.",4444332,28.02.2023,28.05.2024
ALVE NORD,Utvinning,Feltet skal produseres med trykkavlastning.,42002483,12.08.2023,28.05.2024
ALVE NORD,Reservoar,"Reservoarene inneholder olje og gass i undre jura Båtgruppen og midtre jura Fangstgruppen, og gass i Langeformasjonen av tidligkritt alder. Reservoaret i Langeformasjonen ligger på 3000 meters dyp og jurareservoarene på om lag 3600-4000 meter. Reservoaregenskapene er varierende.",42002483,09.12.2023,28.05.2024
ALVE NORD,Utbygging,"Alve Nord ligger i den nordlige delen av Norskehavet, 40 kilometer nordøst for Skarvfeltet. Vanndybden er 380 meter. Alve Nord ble påvist i 2011 og plan for utbygging og drift (PUD) ble godkjent i juni 2023. Utbyggingskonseptet inkluderer en havbunnsramme med to produksjonsbrønner tilknyttet produksjons- og lagerskipet (FPSO) Skarv.",42002483,12.08.2023,28.05.2024
ALVE NORD,Transport,Gassen skal eksporteres via Åsgard Transport System (ÅTS) til terminalen på Kårstø. Olje og kondensat skal overføres fra Skarv FPSO til tankskip via en lastebøye.,42002483,09.12.2023,28.05.2024
ALVE NORD,Status,Alve Nord bygges ut sammen med Ørn og Idun Nord som en del av Skarv Satellittprosjektet (SSP). Etter planen skal produksjonen starte i 2027.,42002483,12.08.2023,28.05.2024
