fldName,fldStatusFromDate,fldStatusToDate,fldStatus,fldNpdidField,fldStatusDateUpdated,datesyncNPD
ALBUSKJELL,25.04.1975,25.05.1979,Approved for production,43437,28.02.2023,29.05.2024
ALBUSKJELL,26.05.1979,25.08.1998,Producing,43437,28.02.2023,29.05.2024
ALBUSKJELL,26.08.1998,,Shut down,43437,28.02.2023,29.05.2024
ALVE,16.03.2007,18.03.2009,Approved for production,4444332,28.02.2023,29.05.2024
ALVE,19.03.2009,,Producing,4444332,28.02.2023,29.05.2024
ALVE NORD,28.06.2023,,Approved for production,42002483,10.08.2023,29.05.2024
ALVHEIM,06.10.2004,07.06.2008,Approved for production,2845712,28.02.2023,29.05.2024
ALVHEIM,08.06.2008,,Producing,2845712,28.02.2023,29.05.2024
ATLA,04.11.2011,06.10.2012,Approved for production,21106284,28.02.2023,29.05.2024
ATLA,07.10.2012,22.06.2023,Producing,21106284,16.08.2023,29.05.2024
ATLA,23.06.2023,,Shut down,21106284,16.08.2023,29.05.2024
BALDER,02.02.1996,01.10.1999,Approved for production,43562,28.02.2023,29.05.2024
BALDER,02.10.1999,,Producing,43562,28.02.2023,29.05.2024
BAUGE,20.06.2017,07.04.2023,Approved for production,29446221,18.04.2023,29.05.2024
BAUGE,08.04.2023,,Producing,29446221,18.04.2023,29.05.2024
BERLING,28.06.2023,,Approved for production,42002473,08.08.2023,29.05.2024
BLANE,01.07.2005,11.09.2007,Approved for production,3437650,28.02.2023,29.05.2024
BLANE,12.09.2007,,Producing,3437650,28.02.2023,29.05.2024
BRAGE,29.03.1990,22.09.1993,Approved for production,43651,28.02.2023,29.05.2024
BRAGE,23.09.1993,,Producing,43651,28.02.2023,29.05.2024
BREIDABLIKK,29.06.2021,19.10.2023,Approved for production,38702206,21.10.2023,29.05.2024
BREIDABLIKK,20.10.2023,,Producing,38702206,21.10.2023,29.05.2024
BRYNHILD,11.11.2011,23.12.2014,Approved for production,21123063,28.02.2023,29.05.2024
BRYNHILD,24.12.2014,07.05.2018,Producing,21123063,28.02.2023,29.05.2024
BRYNHILD,08.05.2018,,Shut down,21123063,28.02.2023,29.05.2024
BYRDING,17.01.2017,11.07.2017,Approved for production,28975067,28.02.2023,29.05.2024
BYRDING,12.07.2017,,Producing,28975067,28.02.2023,29.05.2024
BØYLA,26.10.2012,18.01.2015,Approved for production,22492497,28.02.2023,29.05.2024
BØYLA,19.01.2015,,Producing,22492497,28.02.2023,29.05.2024
COD,04.05.1973,25.12.1977,Approved for production,43785,28.02.2023,29.05.2024
COD,26.12.1977,04.08.1998,Producing,43785,28.02.2023,29.05.2024
COD,05.08.1998,,Shut down,43785,28.02.2023,29.05.2024
DRAUGEN,19.12.1988,18.10.1993,Approved for production,43758,28.02.2023,29.05.2024
DRAUGEN,19.10.1993,,Producing,43758,28.02.2023,29.05.2024
DUVA,27.06.2019,21.08.2021,Approved for production,34833026,28.02.2023,29.05.2024
DUVA,22.08.2021,,Producing,34833026,28.02.2023,29.05.2024
DVALIN,21.03.2017,22.11.2020,Approved for production,29393934,28.02.2023,29.05.2024
DVALIN,23.11.2020,,Producing,29393934,28.02.2023,29.05.2024
EDDA,25.04.1975,01.12.1979,Approved for production,43541,28.02.2023,29.05.2024
EDDA,02.12.1979,04.08.1998,Producing,43541,28.02.2023,29.05.2024
EDDA,05.08.1998,,Shut down,43541,28.02.2023,29.05.2024
EDVARD GRIEG,11.06.2012,27.11.2015,Approved for production,21675433,28.02.2023,29.05.2024
EDVARD GRIEG,28.11.2015,,Producing,21675433,28.02.2023,29.05.2024
EIRIN,16.01.2024,,Approved for production,42002492,18.01.2024,29.05.2024
EKOFISK,15.06.1971,,Producing,43506,28.02.2023,29.05.2024
