fldName,fldOwnerName,fldOwnerKind,fldOwnerFrom,fldOwnerTo,fldLicenseeFrom,fldLicenseeTo,cmpLongName,fldCompanyShare,fldSdfiShare,fldNpdidField,cmpNpdidCompany,fldLicenseeDateUpdated,DatesyncNPD
ALBUSKJELL,018,PRODUCTION LICENSE,25.04.1975,,30.09.2022,,TotalEnergies EP Norge AS,39.896,,43437,35000016,02.01.2024,22.05.2024
ALBUSKJELL,018,PRODUCTION LICENSE,25.04.1975,,30.09.2022,,ConocoPhillips Skandinavia AS,35.112,,43437,2410696,02.01.2024,22.05.2024
ALBUSKJELL,018,PRODUCTION LICENSE,25.04.1975,,30.09.2022,,Vår Energi ASA,12.388,,43437,50000032,02.01.2024,22.05.2024
ALBUSKJELL,018,PRODUCTION LICENSE,25.04.1975,,30.09.2022,,Sval Energi AS,7.604,0.0,43437,36536246,02.01.2024,22.05.2024
ALBUSKJELL,018,PRODUCTION LICENSE,25.04.1975,,30.09.2022,,Petoro AS,5.0,,43437,1626839,02.01.2024,22.05.2024
ALBUSKJELL,018,PRODUCTION LICENSE,25.04.1975,,28.01.2022,29.09.2022,TotalEnergies EP Norge AS,39.896,,43437,35000016,02.01.2024,22.05.2024
ALBUSKJELL,018,PRODUCTION LICENSE,25.04.1975,,28.01.2022,29.09.2022,ConocoPhillips Skandinavia AS,35.112,,43437,2410696,02.01.2024,22.05.2024
ALBUSKJELL,018,PRODUCTION LICENSE,25.04.1975,,28.01.2022,29.09.2022,Vår Energi ASA,12.388,,43437,50000032,02.01.2024,22.05.2024
ALBUSKJELL,018,PRODUCTION LICENSE,25.04.1975,,28.01.2022,29.09.2022,Equinor Energy AS,7.604,,43437,32011216,02.01.2024,22.05.2024
ALBUSKJELL,018,PRODUCTION LICENSE,25.04.1975,,28.01.2022,29.09.2022,Petoro AS,5.0,,43437,1626839,02.01.2024,22.05.2024
ALBUSKJELL,018,PRODUCTION LICENSE,25.04.1975,,18.06.2021,27.01.2022,TotalEnergies EP Norge AS,39.896,,43437,35000016,02.01.2024,22.05.2024
ALBUSKJELL,018,PRODUCTION LICENSE,25.04.1975,,18.06.2021,27.01.2022,ConocoPhillips Skandinavia AS,35.112,,43437,2410696,02.01.2024,22.05.2024
ALBUSKJELL,018,PRODUCTION LICENSE,25.04.1975,,18.06.2021,27.01.2022,Vår Energi AS,12.388,,43437,33360957,02.01.2024,22.05.2024
ALBUSKJELL,018,PRODUCTION LICENSE,25.04.1975,,18.06.2021,27.01.2022,Equinor Energy AS,7.604,,43437,32011216,02.01.2024,22.05.2024
ALBUSKJELL,018,PRODUCTION LICENSE,25.04.1975,,18.06.2021,27.01.2022,Petoro AS,5.0,,43437,1626839,02.01.2024,22.05.2024
ALBUSKJELL,018,PRODUCTION LICENSE,25.04.1975,,10.12.2018,17.06.2021,Total E&P Norge AS,39.896,,43437,2410708,02.01.2024,22.05.2024
ALBUSKJELL,018,PRODUCTION LICENSE,25.04.1975,,10.12.2018,17.06.2021,ConocoPhillips Skandinavia AS,35.112,,43437,2410696,02.01.2024,22.05.2024
ALBUSKJELL,018,PRODUCTION LICENSE,25.04.1975,,10.12.2018,17.06.2021,Vår Energi AS,12.388,,43437,33360957,02.01.2024,22.05.2024
ALBUSKJELL,018,PRODUCTION LICENSE,25.04.1975,,10.12.2018,17.06.2021,Equinor Energy AS,7.604,,43437,32011216,02.01.2024,22.05.2024
ALBUSKJELL,018,PRODUCTION LICENSE,25.04.1975,,10.12.2018,17.06.2021,Petoro AS,5.0,,43437,1626839,02.01.2024,22.05.2024
ALBUSKJELL,018,PRODUCTION LICENSE,25.04.1975,,16.05.2018,09.12.2018,Total E&P Norge AS,39.896,,43437,2410708,02.01.2024,22.05.2024
ALBUSKJELL,018,PRODUCTION LICENSE,25.04.1975,,16.05.2018,09.12.2018,ConocoPhillips Skandinavia AS,35.112,,43437,2410696,02.01.2024,22.05.2024
ALBUSKJELL,018,PRODUCTION LICENSE,25.04.1975,,16.05.2018,09.12.2018,Eni Norge AS,12.388,,43437,2388594,02.01.2024,22.05.2024
ALBUSKJELL,018,PRODUCTION LICENSE,25.04.1975,,16.05.2018,09.12.2018,Equinor Energy AS,7.604,,43437,32011216,02.01.2024,22.05.2024
ALBUSKJELL,018,PRODUCTION LICENSE,25.04.1975,,16.05.2018,09.12.2018,Petoro AS,5.0,,43437,1626839,02.01.2024,22.05.2024
ALBUSKJELL,018,PRODUCTION LICENSE,25.04.1975,,02.11.2009,15.05.2018,Total E&P Norge AS,39.896,,43437,2410708,02.01.2024,22.05.2024
ALBUSKJELL,018,PRODUCTION LICENSE,25.04.1975,,02.11.2009,15.05.2018,ConocoPhillips Skandinavia AS,35.112,,43437,2410696,02.01.2024,22.05.2024
ALBUSKJELL,018,PRODUCTION LICENSE,25.04.1975,,02.11.2009,15.05.2018,Eni Norge AS,12.388,,43437,2388594,02.01.2024,22.05.2024
ALBUSKJELL,018,PRODUCTION LICENSE,25.04.1975,,02.11.2009,15.05.2018,Statoil Petroleum AS,7.604,,43437,17237817,02.01.2024,22.05.2024
ALBUSKJELL,018,PRODUCTION LICENSE,25.04.1975,,02.11.2009,15.05.2018,Petoro AS,5.0,,43437,1626839,02.01.2024,22.05.2024
ALBUSKJELL,018,PRODUCTION LICENSE,25.04.1975,,01.01.2009,01.11.2009,Total E&P Norge AS,39.896,,43437,2410708,02.01.2024,22.05.2024
ALBUSKJELL,018,PRODUCTION LICENSE,25.04.1975,,01.01.2009,01.11.2009,ConocoPhillips Skandinavia AS,35.112,,43437,2410696,02.01.2024,22.05.2024
ALBUSKJELL,018,PRODUCTION LICENSE,25.04.1975,,01.01.2009,01.11.2009,Eni Norge AS,12.388,,43437,2388594,02.01.2024,22.05.2024
ALBUSKJELL,018,PRODUCTION LICENSE,25.04.1975,,01.01.2009,01.11.2009,StatoilHydro Petroleum AS,7.604,,43437,4511658,02.01.2024,22.05.2024
