fclName,fclCurrentRespCompanyName,fclKind,fclFunctions,fclStatus,fclNationName,fclFactPageUrl,fclNpdidFacility,fclNpdidCurrentRespCompany,fclDateUpdated,datesyncNPD
ABEILLE SUPPORT,Stolt Offshore A/S,VESSEL,,,France,https://factpages.sodir.no/factpages/default.aspx?nav1=facility&nav2=PageView|Moveable|All&nav3=294544,294544,2411309.0,29.02.2024,22.05.2024
ACERGY FALCON,Acergy M.S. Limited,VESSEL,,,Norway,https://factpages.sodir.no/factpages/default.aspx?nav1=facility&nav2=PageView|Moveable|All&nav3=402507,402507,4394060.0,29.02.2024,22.05.2024
ACERGY OSPREY,Acergy M.S. Limited,VESSEL,,,United Kingdom,https://factpages.sodir.no/factpages/default.aspx?nav1=facility&nav2=PageView|Moveable|All&nav3=377007,377007,4394060.0,29.02.2024,22.05.2024
ACERGY VIKING,Eidesvik Shipping AS,VESSEL,,,Norway,https://factpages.sodir.no/factpages/default.aspx?nav1=facility&nav2=PageView|Moveable|All&nav3=440555,440555,3362279.0,29.02.2024,22.05.2024
AKOFS SEAFARER,Akofs Offshore Operations AS,VESSEL,,AOC OK,Norway,https://factpages.sodir.no/factpages/default.aspx?nav1=facility&nav2=PageView|Moveable|All&nav3=706601,706601,50000019.0,29.02.2024,22.05.2024
ANTIFRITE,Stolt Offshore A/S,VESSEL,,,Italy,https://factpages.sodir.no/factpages/default.aspx?nav1=facility&nav2=PageView|Moveable|All&nav3=296920,296920,2411309.0,29.02.2024,22.05.2024
AQUAMARINE,,VESSEL,,,Liberia,https://factpages.sodir.no/factpages/default.aspx?nav1=facility&nav2=PageView|Moveable|All&nav3=295597,295597,,29.02.2024,22.05.2024
ARTEMIS ARCTIC,Dolphin AS,VESSEL,,,Norway,https://factpages.sodir.no/factpages/default.aspx?nav1=facility&nav2=PageView|Moveable|All&nav3=414880,414880,2398052.0,29.02.2024,22.05.2024
ASKELADDEN,KCA Deutag Drilling Norge AS,JACK-UP 3 LEGS,DRILLING,AOC OK,Singapore,https://factpages.sodir.no/factpages/default.aspx?nav1=facility&nav2=PageView|Moveable|All&nav3=445592,445592,37710511.0,29.02.2024,22.05.2024
ASKEPOTT,KCA Deutag Drilling Norge AS,JACK-UP 3 LEGS,DRILLING,AOC OK,Singapore,https://factpages.sodir.no/factpages/default.aspx?nav1=facility&nav2=PageView|Moveable|All&nav3=445646,445646,37710511.0,29.02.2024,22.05.2024
B.ENTERPRISE 2,,VESSEL,,,Norway,https://factpages.sodir.no/factpages/default.aspx?nav1=facility&nav2=PageView|Moveable|All&nav3=295381,295381,,29.02.2024,22.05.2024
BELFORD DOLPHIN,Dolphin AS,VESSEL,DRILLING,AOC CANCELLED,Panama,https://factpages.sodir.no/factpages/default.aspx?nav1=facility&nav2=PageView|Moveable|All&nav3=297946,297946,2398052.0,29.02.2024,22.05.2024
BIDEFORD DOLPHIN,Dolphin Drilling AS,SEMISUB STEEL,DRILLING,AOC CANCELLED,Singapore,https://factpages.sodir.no/factpages/default.aspx?nav1=facility&nav2=PageView|Moveable|All&nav3=290170,290170,37710523.0,10.04.2024,22.05.2024
BOA GIANT,Taubåtkompaniet A/S,VESSEL,,,Norway,https://factpages.sodir.no/factpages/default.aspx?nav1=facility&nav2=PageView|Moveable|All&nav3=297703,297703,2129742.0,29.02.2024,22.05.2024
BORGILA DOLPHIN,Dolphin AS,SEMISUB STEEL,,,Norway,https://factpages.sodir.no/factpages/default.aspx?nav1=facility&nav2=PageView|Moveable|All&nav3=296974,296974,2398052.0,29.02.2024,22.05.2024
BORGLAND DOLPHIN,Dolphin Drilling AS,SEMISUB STEEL,DRILLING,AOC OK,Singapore,https://factpages.sodir.no/factpages/default.aspx?nav1=facility&nav2=PageView|Moveable|All&nav3=297784,297784,37710523.0,29.02.2024,22.05.2024
BORGNY DOLPHIN,Dolphin AS,SEMISUB STEEL,DRILLING,,Panama,https://factpages.sodir.no/factpages/default.aspx?nav1=facility&nav2=PageView|Moveable|All&nav3=288280,288280,2398052.0,29.02.2024,22.05.2024
